Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
SAP Ariba,Software,USD 270 146 000,1420,USD 426 600,MongoDB; Jenkins; Datadog; Splunk; Apache Kafka,Google Compute Engine,Google Inc.,"Docker, Inc.",,Apache Kafka,
SAP Concur,Software,USD 1 611 306 000,7671,USD 1 299 700,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Splunk; Apache Kafka,AT&T,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Sapiens,Software,USD 491 479 000,4754,USD 66 700,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,"Docker, Inc.","MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Sappi,Manufacturing,USD 6 373 000 000,13000,USD 112 900,MySQL; Grafana; Splunk,Amazon EC2,Microsoft Azure,,MySQL,,
SAS,Business Services,USD 3 200 000 000,14000,USD 824 700,MySQL; Grafana; MongoDB; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Save-On-Foods,Retail,USD 4 252 908 000,2000,USD 77 100,PostgreSQL; Kubernetes; Docker,Amazon EC2,Snowflake Computing,,PostgreSQL,,
Savills,Real Estate,USD 2 896 119 000,40433,USD 82 900,PostgreSQL,Amazon EC2,Microsoft Azure,,PostgreSQL,,Elasticsearch
Saxo Bank,Finance,,5500,USD 135 800,,Amazon EC2,Akamai Technologies,"Kubernetes; Docker, Inc.",MySQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Scania CV AB,Manufacturing,USD 16 000 000 000,57000,USD 144 400,PostgreSQL; Redis; MongoDB; MongoDB; Docker; Docker; HashiCorp Terraform; Jenkins; Jenkins; Snowflake; Apache Kafka; Apache Kafka,Amazon EC2,Host Europe Gmbh,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
Scentsy,Manufacturing,USD 598 883 000,1800,USD 70 900,MySQL; Redis; MongoDB; Snowflake,Amazon EC2,Rackspace,,MySQL,,
Schneider Electric,Manufacturing,USD 39 280 087 000,168044,USD 710 800,PostgreSQL; MySQL; MySQL; MySQL; Redis; Grafana; MongoDB; MongoDB; MongoDB; Kubernetes; Docker; Docker; Docker; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Flink,Amazon EC2,CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
scholastic.com,Media & Internet,USD 1 709 700 000,6900,USD 566 200,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
School Specialty,Retail,USD 626 073 000,1136,USD 48 000,PostgreSQL; MySQL; MongoDB; Jenkins; Apache Kafka; Apache Flink,SoftLayer an IBM Company,Amazon EC2,,MySQL; PostgreSQL,Apache Kafka,Apache Lucene
SCHOTT,Manufacturing,USD 2 569 077 000,17200,USD 77 100,PostgreSQL; MySQL; Kubernetes; Docker,Lumen Technologies,Amazon EC2,,MySQL; PostgreSQL,,
Scientific Games,Hospitality,USD 2 272 000 000,5600,USD 46 300,PostgreSQL; MySQL; Redis; Grafana; MongoDB; MariaDB; Kubernetes; Docker; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka,"Level 3 Communications, Inc.",MySQL,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Scientific Research,Business Services,USD 450 688 000,2609,USD 9 600,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,"Docker, Inc.","Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Scorpion Design,Business Services,USD 738 068 000,2503,USD 45 800,PostgreSQL; Redis; Kubernetes; Docker; Prometheus; Apache Kafka,Amazon EC2,valueweb.net,,PostgreSQL,Apache Kafka,Elasticsearch
Scotiabank,Finance,USD 31 148 000 000,91013,USD 1 515 900,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Searce,Business Services,USD 316 846 000,1300,USD 18 500,PostgreSQL; MySQL; Kubernetes,"Docker, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
seats.io,Business Services,USD 3 984 000,11,USD 2 100,,Heroku,Gandi,,,,
Securitas,Business Services,USD 12 054 305 000,358000,USD 78 000,PostgreSQL; MySQL; MySQL; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Türk Telekomünikasyon Anonim Sirketi,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch
SecurityScorecard,Software,USD 90 800 000,567,,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,,,,,,
Security Service Federal Credit Union,Finance,USD 606 277 000,1700,USD 37 300,PostgreSQL; Apache Kafka,Amazon EC2,Spectrum Business,,PostgreSQL,Apache Kafka,
SEFE Marketing & Trading Ltd,"Energy, Utilities & Waste",USD 1 400 000 000,4300,,MongoDB,,,,,,
Segment,Business Services,USD 1 334 878 000,6355,,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka; Apache Flink,,,,,,
Seismic Software,Business Services,USD 315 078 000,1500,USD 149 900,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,"MongoDB, Inc.",Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Lucene
Selective Insurance Group,Insurance,USD 4 232 281 000,2650,USD 67 000,MySQL; Redis; MongoDB; MongoDB; Kubernetes; Jenkins; Snowflake; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,Apache Kafka,
Sembcorp Industries,Holding Companies & Conglomerates,USD 5 700 751 000,5740,USD 1 900,MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform,Amazon EC2,SoftLayer an IBM Company,,MySQL; Microsoft Azure SQL Database,,
sennder,Transportation,USD 326 577 000,1000,USD 30 600,PostgreSQL; MySQL; Kubernetes; HashiCorp Terraform; Datadog; Snowflake; Apache Kafka,"Docker, Inc.",Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
Senseye Ltd,Software,USD 15 759 000,60,USD 46 300,Kubernetes,"Docker, Inc.",Kubernetes,Kubernetes; Docker,,,
Sentara Healthcare,Hospitals & Physicians Clinics,USD 4 404 057 000,30000,USD 59 200,Apache Cassandra; Grafana; MongoDB; MongoDB; Kubernetes; Docker; Jenkins; Jenkins; Prometheus; Snowflake; Splunk,Amazon EC2,Lumen Technologies,,MySQL; Microsoft Azure SQL Database,,Elasticsearch
Sentry.io,Business Services,USD 42 011 000,379,,PostgreSQL; Redis; ClickHouse; Kubernetes; Docker; HashiCorp Terraform; Apache Kafka,,,,,,
Serasa Experian,Media & Internet,USD 460 000 000,2700,USD 196 000,PostgreSQL; MySQL; Redis; Grafana; Kubernetes; Jenkins; Prometheus; Splunk,"MongoDB, Inc.",Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
ServiceNow,Software,USD 8 971 000 000,22668,USD 1 383 700,PostgreSQL; MySQL; Redis; Apache Cassandra; InfluxDB; ClickHouse; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,WilmerHale LLP,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Service Stream,Construction,USD 1 374 938 000,2200,USD 6 000,PostgreSQL; Jenkins; Splunk,Amazon EC2,Microsoft Azure,,PostgreSQL; Microsoft Azure SQL Database,,
ServiceTitan,Software,,5500,USD 165 700,,Amazon EC2,MySQL,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Servier,Manufacturing,USD 5 213 127 000,22000,USD 28 800,MySQL; Kubernetes; Docker,Amazon EC2,ip-188-165-4.eu,,MySQL,,Elasticsearch
SES,Telecommunications,USD 2 230 515 000,2298,USD 25 800,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; Jenkins; Splunk,"Acquia, Inc.",Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
SEW-EURODRIVE GmbH & Co KG,Manufacturing,USD 95 696 000,17000,,,,,,,,
SGS,Business Services,USD 19 879 016 000,97797,USD 184 800,MySQL; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Microsoft Azure,Amazon EC2,,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Shangri-La Group,Hospitality,USD 1 840 667 000,25400,USD 176 500,MySQL; Splunk,PCCW GLOBAL,Amazon EC2,,MySQL,,
Sharecare,Software,USD 464 530 000,3485,USD 319 000,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Shein,Retail,USD 3 484 444 000,10000,USD 751 600,Grafana; Prometheus; Apache Kafka; Apache Flink,Amazon EC2,Microsoft Azure,,,Apache Kafka,Elasticsearch
Shell,Retail,USD 484 285 940 000,103000,USD 506 700,PostgreSQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Prometheus; Couchbase; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Shell Malaysia,"Energy, Utilities & Waste",USD 1 546 673 000,2000,USD 506 700,PostgreSQL; Redis; MongoDB; HashiCorp Terraform; Jenkins,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",PostgreSQL,,
Shell Philippines,"Energy, Utilities & Waste",USD 407 292 000,341,USD 506 700,PostgreSQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,,
Shell South Africa,"Energy, Utilities & Waste",USD 1 736 703 000,1427,USD 506 700,PostgreSQL; Redis; Kubernetes; HashiCorp Terraform; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Shift Technologies,Retail,USD 750 445 000,1299,USD 88 800,PostgreSQL; Kubernetes; Apache Kafka,MySQL,Databricks,,PostgreSQL,Apache Kafka,
Shippeo,Software,USD 33 609 000,237,USD 18 000,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Snowflake; Apache Kafka,Kubernetes,"Docker, Inc.",Kubernetes; Docker,MySQL; PostgreSQL,Apache Kafka,
shipt.com,Transportation,USD 326 577 000,1400,USD 266 300,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Apache Kafka; Apache Flink,Databricks,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Shirley Ryan AbilityLab,Hospitals & Physicians Clinics,USD 640 000 000,3000,USD 11 400,PostgreSQL; Apache Cassandra; Grafana; Prometheus,Pantheon Platform,Microsoft Azure,,PostgreSQL,,
Shopify,Software,USD 7 060 000 000,11600,USD 2 602 900,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Datadog; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Shure,Manufacturing,USD 399 729 000,1003,USD 258 600,PostgreSQL; MySQL; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Prometheus,Cogent Communications Holdings,Amazon EC2,"Docker, Inc.",MySQL; PostgreSQL,,
Shutterfly,Consumer Services,USD 3 484 444 000,10000,USD 1 786 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
shutterstock.com,Media & Internet,USD 843 974 000,1300,USD 6 716 200,,Amazon EC2,SoftLayer an IBM Company,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
SickKids Foundation,Organizations,USD 1 100 000 000,8880,USD 2 800,PostgreSQL; MySQL; MongoDB; Docker; Jenkins,Amazon EC2,"Digital Ocean, Inc.",,MySQL; PostgreSQL,,
Siemens,Manufacturing,USD 85 086 433 000,321000,USD 1 367 900,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Siemens Energy Global,"Energy, Utilities & Waste",USD 70 744 724 000,303000,USD 81 400,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Siemens Gamesa Renewable Energy,Manufacturing,USD 10 098 001 000,25947,USD 48 200,PostgreSQL; MySQL; Kubernetes; Docker; Jenkins; Splunk,Veeam Software,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Sigma Software,Business Services,USD 315 078 000,1500,USD 25 500,PostgreSQL; MySQL; InfluxDB; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka,Telia Sverige,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,
Signature Healthcare,Healthcare Services,USD 1 340 114 000,14000,USD 50 800,MySQL; MongoDB,Amazon EC2,InMotion Hosting,,MySQL,,
Signify,Manufacturing,USD 7 626 783 000,37000,USD 150 000,PostgreSQL; MySQL; MySQL; InfluxDB; Grafana; Docker; HashiCorp Terraform; Snowflake,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Sii,Software,USD 325 465 000,3785,USD 43 300,MySQL; MongoDB; Kubernetes; Docker; Jenkins; Splunk,Kei.pl,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,,Elasticsearch
Sikich,Business Services,USD 375 769 000,1900,USD 23 600,PostgreSQL; MySQL,Amazon EC2,Pantheon Platform,,MySQL; PostgreSQL,,
Silicon Labs,Manufacturing,USD 1 037 079 000,2000,USD 112 200,PostgreSQL; MySQL; Grafana; Docker; HashiCorp Terraform; Jenkins; Splunk,Amazon EC2,Data Foundry,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Simplilearn,Education,USD 528 339 000,2500,USD 1 068 400,MySQL; HashiCorp Terraform; Jenkins; Apache Kafka,Amazon EC2,Bluehost,,MySQL,Apache Kafka,
Simply Business,Insurance,USD 747 685 000,800,USD 70 800,PostgreSQL; MySQL; MongoDB; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Sinch,Software,USD 2 795 792 000,3707,USD 62 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Apache Kafka,Kubernetes,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
SingTel,Telecommunications,USD 11 006 336 000,24070,USD 758 300,MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Datadog; Prometheus; Couchbase; Splunk; Apache Kafka; Apache Kafka,Amazon EC2,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Singtel Optus,Telecommunications,USD 9 000 000 000,25000,USD 422 700,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,Veeam Software,Teradata,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Sintef,Business Services,USD 329 257 000,2114,USD 2 900,MySQL; InfluxDB; Grafana; Kubernetes; Docker; HashiCorp Terraform,Kulturrådet,Amazon EC2,,MySQL,,Apache Lucene
SISA Information Security,Software,USD 63 016 000,600,,MySQL; Jenkins; Splunk,,,,,,
SITA,Manufacturing,USD 1 298 387 000,4500,USD 181 600,PostgreSQL; PostgreSQL; MySQL; Grafana; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Splunk; Apache Kafka,Amazon EC2,MySQL,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
Sitecore,Software,USD 637 307 000,2200,USD 99 600,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka; Apache Flink,Kubernetes,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
SIX Group,Software,USD 1 262 670 000,2736,USD 63 600,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,HP,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
sjsu.edu,Organizations,USD 1 000 000 000,4300,USD 62 600,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Google Inc.,Amazon EC2,,MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
SKF,Manufacturing,,11000,USD 150 000,,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
SkillSoft,Software,USD 555 124 000,2400,USD 143 300,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Lumen Technologies,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr
Skillz,Software,USD 400 000 000,120,USD 97 900,,Amazon EC2,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL,,Elasticsearch
SkipTheDishes,Media & Internet,USD 379 691 000,1820,USD 200 000,MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins,Amazon EC2,Google Compute Engine,"Docker, Inc.",MySQL,,
Skyscanner,Hospitality,USD 718 233 000,1500,USD 363 000,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Sky UK Ltd,Media & Internet,USD 17 900 000 000,32000,USD 1 334 600,PostgreSQL; PostgreSQL; MySQL; MySQL; Grafana; Grafana; MongoDB; MariaDB; Kubernetes; Kubernetes; Jenkins; Prometheus; Couchbase; Snowflake; Splunk,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Slack Technologies,Software,USD 903 000 000,4023,USD 4 250 200,MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
slalom.com,Business Services,USD 2 900 000 000,13000,USD 189 900,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,"Acquia, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch
SLB,"Energy, Utilities & Waste",USD 33 135 000 000,111000,USD 124 100,PostgreSQL; MySQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Microsoft Azure,Kubernetes,Kubernetes,MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Sleep Number,Manufacturing,USD 2 143 823 000,5500,USD 128 000,MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Splunk; Apache Kafka,Amazon EC2,Oracle,"Kubernetes; Docker, Inc.",MySQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Small Business Administration,Government,USD 3 299 869 000,9000,USD 478 300,MySQL; Apache Cassandra; MongoDB,Amazon EC2,Amazon Simple Email Service (SES),,MySQL,,
Smarsh,Software,USD 294 073 000,1400,USD 113 900,PostgreSQL; MySQL; Apache Cassandra; InfluxDB; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; EnterpriseDB,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Smartbox Group,Retail,USD 588 458 000,1082,USD 164 900,MySQL; Redis; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins,OVH SRL,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL,,Elasticsearch
Smartsheet,Software,USD 766 915 000,3000,USD 1 201 100,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
Smiths News,Retail,USD 1 398 079 000,1603,USD 20 100,PostgreSQL; MySQL; Jenkins,Rackspace,Amazon EC2,,MySQL; PostgreSQL,,
SMRT Corporation,Transportation,USD 3 436 355 000,9300,USD 10 500,PostgreSQL; MySQL; MongoDB,Kubernetes,Akamai Technologies,Kubernetes,MySQL; PostgreSQL; Microsoft Azure SQL Database,,
SMS Group,Construction,USD 3 449 857 000,14000,USD 56 000,PostgreSQL; MySQL; Grafana; Kubernetes; Docker; Jenkins; Apache Kafka,Amazon EC2,"Docker, Inc.","Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Apache Solr; Apache Lucene
SNAP,Holding Companies & Conglomerates,USD 4 601 847 000,5288,USD 1 962 900,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
SNCF,Transportation,USD 36 810 000 000,280000,USD 545 300,PostgreSQL; MySQL; Grafana; Kubernetes; Jenkins,Euro Information,Experian plc,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Snowflake,Software,USD 2 620 802 000,6659,USD 2 272 300,PostgreSQL; MySQL; Apache Cassandra; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
SoFi,Finance,USD 2 108 215 000,4400,USD 671 300,PostgreSQL; Redis; Redis; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Snowflake Computing,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
SoftServe,Software,USD 2 924 729 000,12000,USD 110 200,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch
Soft Surroundings,Retail,USD 448 612 000,2125,USD 44 400,MySQL; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,Amazon EC2,Lumen Technologies,,MySQL,Apache Kafka,Elasticsearch
